date,equity,symbol,shares
2024-02-15,100517.77,,
2024-02-15,,A,6
2024-02-15,,ABEO,-268
2024-02-15,,ACN,2
2024-02-15,,ADBE,1
2024-02-15,,AEYE,-294
2024-02-15,,AIP,-212
2024-02-15,,AIRT,-102
2024-02-15,,AKYA,-286
2024-02-15,,AMP,2
2024-02-15,,ANET,3
2024-02-15,,AOMR,-150
2024-02-15,,APH,7
2024-02-15,,ARQT,-212
2024-02-15,,ATNM,-284
2024-02-15,,AVY,3
2024-02-15,,AXP,3
2024-02-15,,BAH,5
2024-02-15,,BIG,-350
2024-02-15,,BODY,-170
2024-02-15,,BR,4
2024-02-15,,BX,6
2024-02-15,,CALC,-358
2024-02-15,,CAT,2
2024-02-15,,CCI,7
2024-02-15,,CDNS,2
2024-02-15,,CELC,-102
2024-02-15,,CLPT,-217
2024-02-15,,COST,1
2024-02-15,,CPRT,16
2024-02-15,,CRIS,-156
2024-02-15,,CRVO,-100
2024-02-15,,CTAS,1
2024-02-15,,CULP,-324
2024-02-15,,CXDO,-238
2024-02-15,,DLA,-562
2024-02-15,,ECOR,-228
2024-02-15,,EFX,3
2024-02-15,,EIGR,-282
2024-02-15,,ENTA,-122
2024-02-15,,EW,9
2024-02-15,,FAST,11
2024-02-15,,FERG,4
2024-02-15,,GANX,-330
2024-02-15,,GOCO,-118
2024-02-15,,HIPO,-152
2024-02-15,,IMRX,-242
2024-02-15,,IPWR,-226
2024-02-15,,IQV,3
2024-02-15,,JBL,5
2024-02-15,,KEYS,5
2024-02-15,,KPLT,-110
2024-02-15,,LEE,-162
2024-02-15,,LULU,1
2024-02-15,,MCHP,9
2024-02-15,,MMC,4
2024-02-15,,MOH,2
2024-02-15,,MPWR,1
2024-02-15,,NDAQ,14
2024-02-15,,NFLX,1
2024-02-15,,NGNE,-54
2024-02-15,,NSC,3
2024-02-15,,NVNO,-338
2024-02-15,,ODFL,1
2024-02-15,,ONCT,-176
2024-02-15,,OPAD,-168
2024-02-15,,OUST,-274
2024-02-15,,PG,5
2024-02-15,,PH,1
2024-02-15,,PRAX,-38
2024-02-15,,QSR,10
2024-02-15,,QUIK,-128
2024-02-15,,ROOT,-190
2024-02-15,,ROST,5
2024-02-15,,RVNC,-292
2024-02-15,,SCCO,9
2024-02-15,,SCOR,-92
2024-02-15,,SILK,-95
2024-02-15,,SKLZ,-232
2024-02-15,,SNPS,1
2024-02-15,,SPY,2
2024-02-15,,SYRE,-70
2024-02-15,,SYRS,-228
2024-02-15,,TELA,-226
2024-02-15,,TIL,-140
2024-02-15,,TJX,8
2024-02-15,,TSCO,3
2024-02-15,,TSE,-328
2024-02-15,,TSVT,-281
2024-02-15,,TT,2
2024-02-15,,UNH,1
2024-02-15,,UNP,3
2024-02-15,,VEEV,3
2024-02-15,,VHC,-184
2024-02-15,,VRSK,3
2024-02-15,,WM,4
2024-02-15,,WST,2
2024-02-15,,XOS,-206
